Title,Link,Views,Uploaded_by,Time_duration
How NOT To Land A Developer Job,https://www.youtube.com/watch?v=-V_q9MJDrZY,41K views,1 year ago,    14:06  
Learn Python With This ONE Project!,https://www.youtube.com/watch?v=th4OBktqK1I,1.2M views,1 year ago,    55:04  
Every Python Function Explained,https://www.youtube.com/watch?v=NYktbp1WFS8,93K views,1 year ago,    23:22  
AI Text To Speech Is Getting Crazy + 3090Ti Giveaway,https://www.youtube.com/watch?v=Ss5WWolaOLY,17K views,1 year ago,    8:09  
How To Survive a Computer Science Degree,https://www.youtube.com/watch?v=lHhL2Cj1zSY,41K views,1 year ago,    13:22  
Can I Make Brick Breaker in One Hour - Coding Challenge,https://www.youtube.com/watch?v=K-Ek0gT8JPM,53K views,1 year ago,    56:27  
The Ultimate Self-Taught Developer Curriculum,https://www.youtube.com/watch?v=vxctuiRlmrs,142K views,1 year ago,    17:30  
CSS For Non-Web Developers - Tutorial - Part 2,https://www.youtube.com/watch?v=vHiklIWMZA8,11K views,1 year ago,    25:57  
CSS For Non-Web Developers - Tutorial - Part 1,https://www.youtube.com/watch?v=ZzoAu4VPyho,26K views,1 year ago,    57:11  
Python Firework Animation - Tutorial,https://www.youtube.com/watch?v=8nIi2x2m6yE,35K views,1 year ago,    56:23  
My Tech Startup Is Hiring Software Engineers!,https://www.youtube.com/watch?v=Nulac4Q15Io,48K views,1 year ago,    4:40  
PyScript - Python In HTML?,https://www.youtube.com/watch?v=CQv7wfZIcs0,73K views,1 year ago,    10:49  
Can You Answer These Tricky Python Questions?,https://www.youtube.com/watch?v=NvBoFER9Y1Y,24K views,1 year ago,    14:00  
The Only 10 Personal Finance Tips You'll Ever Need,https://www.youtube.com/watch?v=FHTL9q9BucM,22K views,1 year ago,    14:34  
How To Design Large Software Systems,https://www.youtube.com/watch?v=u3YoNpSnmis,49K views,1 year ago,    16:45  
I'm Joining A Tech Startup!,https://www.youtube.com/watch?v=GYugz6LxfhE,49K views,1 year ago,    8:04  
This Python Quiz Is Surprisingly Difficult...,https://www.youtube.com/watch?v=MPBCiSnAm9E,20K views,1 year ago,    12:35  
"Rust Tutorial #9 - Memory Management, Heap & Stack",https://www.youtube.com/watch?v=-6cnnNlAvNk,39K views,1 year ago,    21:27  
"Rust Tutorial #8 - Functions, Expressions & Statements",https://www.youtube.com/watch?v=APrANyLHCtQ,31K views,1 year ago,    16:33  
How To Learn Programming Languages and Frameworks FAST,https://www.youtube.com/watch?v=RPrBGrQsIek,29K views,1 year ago,    11:47  
Rust Tutorial #7 - Conditions and Control Flow (if/else if/else),https://www.youtube.com/watch?v=MOa7ulhNYc0,28K views,1 year ago,    11:57  
How To Avoid Tech/Coding Burnout,https://www.youtube.com/watch?v=eYjWLdLgKqg,21K views,1 year ago,    15:07  
How Many Hours Should You Code Per Day?,https://www.youtube.com/watch?v=X6hbdFv8Q3c,46K views,1 year ago,    11:56  
Rust Tutorial #6 - Arithmetic and Type Casting,https://www.youtube.com/watch?v=Uwa3P9dBHdA,42K views,1 year ago,    19:10  
Coding Skills NO ONE Will Teach You,https://www.youtube.com/watch?v=7qH8prh4hpE,147K views,1 year ago,    12:56  
Rust Tutorial #5 - Console Input,https://www.youtube.com/watch?v=PQBX-ev5q2k,47K views,1 year ago,    8:56  
Rust Tutorial #4 - Data Types,https://www.youtube.com/watch?v=t047Hseyj_k,61K views,1 year ago,    17:20  
"Rust Tutorial #3 - Variables, Constants and Shadowing",https://www.youtube.com/watch?v=xYgfW8cIbMA,80K views,1 year ago,    15:10  
These Programming Projects Are AWESOME! - 7th TWT Code Jam Winners,https://www.youtube.com/watch?v=svJ0FtfyfRo,33K views,1 year ago,    28:05  
"Rust Tutorial #2 - Using Rust Tools (cargo, rustfmt)",https://www.youtube.com/watch?v=gvgBUY8iNO4,107K views,1 year ago,    9:14  
Rust Tutorial #1 - Introduction To Rust Programming,https://www.youtube.com/watch?v=T_KrYLW4jw8,334K views,1 year ago,    15:09  
MongoDB + Python #3 - Full-Text Search with Atlas Search,https://www.youtube.com/watch?v=nc-Kpiq1zLc,18K views,1 year ago,    31:36  
"MongoDB + Python #2 - Schema Validation, Advanced Queries and More",https://www.youtube.com/watch?v=nYNAH8K_UhI,23K views,1 year ago,    49:27  
"MongoDB + Python #1 - CRUD, Relationships and More",https://www.youtube.com/watch?v=UpsZDGutpZc,80K views,1 year ago,    54:52  
Python Logging - Tutorial,https://www.youtube.com/watch?v=urrfJgHwIJA,120K views,1 year ago,    15:02  
Essential Terminal Commands - As Fast As Possible,https://www.youtube.com/watch?v=-6_GJ0yrbrU,46K views,1 year ago,    16:47  
Every Python Project I've Ever Made...,https://www.youtube.com/watch?v=D2UP8MRbmVg,61K views,1 year ago,    8:51  
I Dropped Out Of Computer Science,https://www.youtube.com/watch?v=vX-1ZT-y1m0,193K views,1 year ago,    10:06  
Data Collection Project Ideas & Demos,https://www.youtube.com/watch?v=Wx-gL-Dt5rI,31K views,1 year ago,    19:35  
STOP Making These Python Mistakes,https://www.youtube.com/watch?v=sXE5298aDPw,110K views,1 year ago,    19:16  
Can I Code Minesweeper in One Hour?,https://www.youtube.com/watch?v=RRYgc4YIhEs,90K views,1 year ago,    1:04:01  
How To Deploy A React App - Using NGINX & Linux,https://www.youtube.com/watch?v=KFwFDZpEzXY,57K views,1 year ago,    23:09  
Python's Magical Itertools Module,https://www.youtube.com/watch?v=p8FUoSIyIVY,75K views,1 year ago,    14:33  
Django Authentication & User Management - Full Tutorial,https://www.youtube.com/watch?v=WuyKxdLcw3w,116K views,1 year ago,    2:20:03  
3 Mini Python Projects - For Intermediates,https://www.youtube.com/watch?v=txKBWtvV99Y,144K views,1 year ago,    1:25:15  
Flask & React Biometric Authentication Tutorial - Using Passage,https://www.youtube.com/watch?v=4XLdWcgygMQ,23K views,1 year ago,    45:18  
RTX 3080ti Giveaway + NVIDIA GTC 2022,https://www.youtube.com/watch?v=eWhHqrjhe_A,14K views,1 year ago,    6:12  
How to Start Programming - Complete Guide,https://www.youtube.com/watch?v=kP653WDJcdg,37K views,1 year ago,    16:12  
An Introduction To Kubernetes - For Beginners,https://www.youtube.com/watch?v=PlWPH_VUlNE,30K views,1 year ago,    39:52  
Physics Simulations With Python and PyMunk,https://www.youtube.com/watch?v=tLsi2DeUsak,105K views,1 year ago,    1:01:11  
Dynamic Programming Explained (Practical Examples),https://www.youtube.com/watch?v=Sz9yH-RDAgo,97K views,1 year ago,    29:00  
5 Tips To Organize Python Code,https://www.youtube.com/watch?v=e9yMYdnSlUA,132K views,1 year ago,    12:16  
"Instagram Clone Full Tutorial - Using React, Express & Sanity",https://www.youtube.com/watch?v=iRORiaLAgaE,39K views,1 year ago,    4:42:08  
